"Time (CET)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"08.01.2017 03:30 - 08.01.2017 04:00","27341","26930"
"08.01.2017 04:00 - 08.01.2017 04:30","26489","26242"
"08.01.2017 04:30 - 08.01.2017 05:00","25834","25574"
"08.01.2017 05:00 - 08.01.2017 05:30","25456","24719"
"08.01.2017 05:30 - 08.01.2017 06:00","25253","24369"
"08.01.2017 06:00 - 08.01.2017 06:30","25258","24080"
"08.01.2017 06:30 - 08.01.2017 07:00","25755","24352"
"08.01.2017 07:00 - 08.01.2017 07:30","26444","25371"
"08.01.2017 07:30 - 08.01.2017 08:00","27322","26174"
"08.01.2017 08:00 - 08.01.2017 08:30","28243","27508"
"08.01.2017 08:30 - 08.01.2017 09:00","29230","29041"
"08.01.2017 09:00 - 08.01.2017 09:30","30817","30742"
"08.01.2017 09:30 - 08.01.2017 10:00","32825","32466"
"08.01.2017 10:00 - 08.01.2017 10:30","34825","34491"
"08.01.2017 10:30 - 08.01.2017 11:00","36507","36098"
"08.01.2017 11:00 - 08.01.2017 11:30","37816","37458"
"08.01.2017 11:30 - 08.01.2017 12:00","38603","38272"
"08.01.2017 12:00 - 08.01.2017 12:30","39270","39229"
"08.01.2017 12:30 - 08.01.2017 13:00","39916","39766"
"08.01.2017 13:00 - 08.01.2017 13:30","40287","40980"
"08.01.2017 13:30 - 08.01.2017 14:00","40474","41290"
"08.01.2017 14:00 - 08.01.2017 14:30","40423","41033"
"08.01.2017 14:30 - 08.01.2017 15:00","40319","41000"
"08.01.2017 15:00 - 08.01.2017 15:30","40181","40976"
"08.01.2017 15:30 - 08.01.2017 16:00","40344","41066"
"08.01.2017 16:00 - 08.01.2017 16:30","40945","41594"
"08.01.2017 16:30 - 08.01.2017 17:00","42184","42351"
"08.01.2017 17:00 - 08.01.2017 17:30","44511","45182"
"08.01.2017 17:30 - 08.01.2017 18:00","46214","47405"
"08.01.2017 18:00 - 08.01.2017 18:30","46448","48475"
"08.01.2017 18:30 - 08.01.2017 19:00","46068","48067"
"08.01.2017 19:00 - 08.01.2017 19:30","45288","47267"
"08.01.2017 19:30 - 08.01.2017 20:00","44111","46364"
"08.01.2017 20:00 - 08.01.2017 20:30","42846","43653"
"08.01.2017 20:30 - 08.01.2017 21:00","41779","42105"
"08.01.2017 21:00 - 08.01.2017 21:30","40474","41456"
"08.01.2017 21:30 - 08.01.2017 22:00","38919","40040"
"08.01.2017 22:00 - 08.01.2017 22:30","37149","38084"
"08.01.2017 22:30 - 08.01.2017 23:00","35155","36132"
"08.01.2017 23:00 - 08.01.2017 23:30","33334","33896"
"08.01.2017 23:30 - 09.01.2017 00:00","31369","32646"
"09.01.2017 00:00 - 09.01.2017 00:30","29550","30703"
"09.01.2017 00:30 - 09.01.2017 01:00","29092","29431"
"09.01.2017 01:00 - 09.01.2017 01:30","29518","29335"
"09.01.2017 01:30 - 09.01.2017 02:00","29348","28308"
"09.01.2017 02:00 - 09.01.2017 02:30","28553","28209"
"09.01.2017 02:30 - 09.01.2017 03:00","27732","27210"
"09.01.2017 03:00 - 09.01.2017 03:30","27210","26238"
"09.01.2017 03:30 - 09.01.2017 04:00","26899","25649"
"09.01.2017 04:00 - 09.01.2017 04:30","26654","25327"
"09.01.2017 04:30 - 09.01.2017 05:00","26395","24770"
"09.01.2017 05:00 - 09.01.2017 05:30","26284","23799"
"09.01.2017 05:30 - 09.01.2017 06:00","26863","23938"
"09.01.2017 06:00 - 09.01.2017 06:30","28028","24067"
"09.01.2017 06:30 - 09.01.2017 07:00","30442","25816"
"09.01.2017 07:00 - 09.01.2017 07:30","33909","30236"
"09.01.2017 07:30 - 09.01.2017 08:00","37883","33904"
"09.01.2017 08:00 - 09.01.2017 08:30","41357","37303"
"09.01.2017 08:30 - 09.01.2017 09:00","43308","39635"
"09.01.2017 09:00 - 09.01.2017 09:30","43930","40973"
"09.01.2017 09:30 - 09.01.2017 10:00","44256","41198"
"09.01.2017 10:00 - 09.01.2017 10:30","44954","42340"
"09.01.2017 10:30 - 09.01.2017 11:00","45296","42901"
"09.01.2017 11:00 - 09.01.2017 11:30","45543","42917"
"09.01.2017 11:30 - 09.01.2017 12:00","45873","43126"
"09.01.2017 12:00 - 09.01.2017 12:30","46233","43417"
"09.01.2017 12:30 - 09.01.2017 13:00","46678","43683"
"09.01.2017 13:00 - 09.01.2017 13:30","46849","43774"
"09.01.2017 13:30 - 09.01.2017 14:00","46782","43797"
"09.01.2017 14:00 - 09.01.2017 14:30","46595","44236"
"09.01.2017 14:30 - 09.01.2017 15:00","46446","44189"
"09.01.2017 15:00 - 09.01.2017 15:30","46412","44640"
"09.01.2017 15:30 - 09.01.2017 16:00","46424","44553"
"09.01.2017 16:00 - 09.01.2017 16:30","46986","45463"
"09.01.2017 16:30 - 09.01.2017 17:00","48480","46320"
"09.01.2017 17:00 - 09.01.2017 17:30","50049","49000"
"09.01.2017 17:30 - 09.01.2017 18:00","51253","50931"
"09.01.2017 18:00 - 09.01.2017 18:30","51578","52088"
"09.01.2017 18:30 - 09.01.2017 19:00","50941","51772"
"09.01.2017 19:00 - 09.01.2017 19:30","50554","50099"
"09.01.2017 19:30 - 09.01.2017 20:00","50024","49546"
"09.01.2017 20:00 - 09.01.2017 20:30","48768","48604"
"09.01.2017 20:30 - 09.01.2017 21:00","47041","47368"
"09.01.2017 21:00 - 09.01.2017 21:30","45156","45291"
"09.01.2017 21:30 - 09.01.2017 22:00","43247","43704"
"09.01.2017 22:00 - 09.01.2017 22:30","40968","41606"
"09.01.2017 22:30 - 09.01.2017 23:00","38458","39345"
"09.01.2017 23:00 - 09.01.2017 23:30","36231","36715"
