"Time (CET)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"01.01.2015 19:30 - 01.01.2015 20:00","N/A","36518"
"01.01.2015 20:00 - 01.01.2015 20:30","N/A","36080"
"01.01.2015 20:30 - 01.01.2015 21:00","N/A","35139"
"01.01.2015 21:00 - 01.01.2015 21:30","N/A","34121"
"01.01.2015 21:30 - 01.01.2015 22:00","N/A","33232"
"01.01.2015 22:00 - 01.01.2015 22:30","N/A","31721"
"01.01.2015 22:30 - 01.01.2015 23:00","N/A","30934"
"01.01.2015 23:00 - 01.01.2015 23:30","N/A","29890"
"01.01.2015 23:30 - 02.01.2015 00:00","N/A","29991"
"02.01.2015 00:00 - 02.01.2015 00:30","N/A","29245"
"02.01.2015 00:30 - 02.01.2015 01:00","N/A","27798"
"02.01.2015 01:00 - 02.01.2015 01:30","N/A","26371"
"02.01.2015 01:30 - 02.01.2015 02:00","N/A","25508"
"02.01.2015 02:00 - 02.01.2015 02:30","N/A","25376"
"02.01.2015 02:30 - 02.01.2015 03:00","N/A","24855"
"02.01.2015 03:00 - 02.01.2015 03:30","N/A","23660"
"02.01.2015 03:30 - 02.01.2015 04:00","N/A","23181"
"02.01.2015 04:00 - 02.01.2015 04:30","N/A","23214"
"02.01.2015 04:30 - 02.01.2015 05:00","N/A","22897"
"02.01.2015 05:00 - 02.01.2015 05:30","N/A","22088"
"02.01.2015 05:30 - 02.01.2015 06:00","N/A","22111"
"02.01.2015 06:00 - 02.01.2015 06:30","N/A","22040"
"02.01.2015 06:30 - 02.01.2015 07:00","N/A","22849"
"02.01.2015 07:00 - 02.01.2015 07:30","N/A","24014"
"02.01.2015 07:30 - 02.01.2015 08:00","N/A","25062"
"02.01.2015 08:00 - 02.01.2015 08:30","N/A","26327"
"02.01.2015 08:30 - 02.01.2015 09:00","N/A","27464"
"02.01.2015 09:00 - 02.01.2015 09:30","N/A","28518"
"02.01.2015 09:30 - 02.01.2015 10:00","N/A","29659"
"02.01.2015 10:00 - 02.01.2015 10:30","N/A","31211"
"02.01.2015 10:30 - 02.01.2015 11:00","N/A","32416"
"02.01.2015 11:00 - 02.01.2015 11:30","N/A","33301"
"02.01.2015 11:30 - 02.01.2015 12:00","N/A","34267"
"02.01.2015 12:00 - 02.01.2015 12:30","N/A","34742"
"02.01.2015 12:30 - 02.01.2015 13:00","N/A","35222"
"02.01.2015 13:00 - 02.01.2015 13:30","N/A","35365"
"02.01.2015 13:30 - 02.01.2015 14:00","N/A","35462"
"02.01.2015 14:00 - 02.01.2015 14:30","N/A","35228"
"02.01.2015 14:30 - 02.01.2015 15:00","N/A","34977"
"02.01.2015 15:00 - 02.01.2015 15:30","N/A","34792"
"02.01.2015 15:30 - 02.01.2015 16:00","N/A","34927"
"02.01.2015 16:00 - 02.01.2015 16:30","N/A","35085"
"02.01.2015 16:30 - 02.01.2015 17:00","N/A","35547"
"02.01.2015 17:00 - 02.01.2015 17:30","N/A","36368"
"02.01.2015 17:30 - 02.01.2015 18:00","N/A","38807"
"02.01.2015 18:00 - 02.01.2015 18:30","N/A","41064"
"02.01.2015 18:30 - 02.01.2015 19:00","N/A","42168"
"02.01.2015 19:00 - 02.01.2015 19:30","N/A","42375"
"02.01.2015 19:30 - 02.01.2015 20:00","N/A","41813"
"02.01.2015 20:00 - 02.01.2015 20:30","N/A","41445"
"02.01.2015 20:30 - 02.01.2015 21:00","N/A","40756"
"02.01.2015 21:00 - 02.01.2015 21:30","N/A","39496"
"02.01.2015 21:30 - 02.01.2015 22:00","N/A","37929"
"02.01.2015 22:00 - 02.01.2015 22:30","N/A","36051"
"02.01.2015 22:30 - 02.01.2015 23:00","N/A","35312"
"02.01.2015 23:00 - 02.01.2015 23:30","N/A","33783"
"02.01.2015 23:30 - 03.01.2015 00:00","N/A","32324"
"03.01.2015 00:00 - 03.01.2015 00:30","N/A","31469"
"03.01.2015 00:30 - 03.01.2015 01:00","N/A","29168"
"03.01.2015 01:00 - 03.01.2015 01:30","N/A","27654"
"03.01.2015 01:30 - 03.01.2015 02:00","N/A","26776"
"03.01.2015 02:00 - 03.01.2015 02:30","N/A","26523"
"03.01.2015 02:30 - 03.01.2015 03:00","N/A","25249"
"03.01.2015 03:00 - 03.01.2015 03:30","N/A","23836"
"03.01.2015 03:30 - 03.01.2015 04:00","N/A","22913"
"03.01.2015 04:00 - 03.01.2015 04:30","N/A","22552"
"03.01.2015 04:30 - 03.01.2015 05:00","N/A","21862"
"03.01.2015 05:00 - 03.01.2015 05:30","N/A","20982"
"03.01.2015 05:30 - 03.01.2015 06:00","N/A","21191"
"03.01.2015 06:00 - 03.01.2015 06:30","N/A","20791"
"03.01.2015 06:30 - 03.01.2015 07:00","N/A","21068"
"03.01.2015 07:00 - 03.01.2015 07:30","N/A","21449"
"03.01.2015 07:30 - 03.01.2015 08:00","N/A","22754"
"03.01.2015 08:00 - 03.01.2015 08:30","N/A","24645"
"03.01.2015 08:30 - 03.01.2015 09:00","N/A","26250"
"03.01.2015 09:00 - 03.01.2015 09:30","N/A","27395"
"03.01.2015 09:30 - 03.01.2015 10:00","N/A","29211"
"03.01.2015 10:00 - 03.01.2015 10:30","N/A","30871"
"03.01.2015 10:30 - 03.01.2015 11:00","N/A","32945"
"03.01.2015 11:00 - 03.01.2015 11:30","N/A","34614"
"03.01.2015 11:30 - 03.01.2015 12:00","N/A","36212"
"03.01.2015 12:00 - 03.01.2015 12:30","N/A","37022"
"03.01.2015 12:30 - 03.01.2015 13:00","N/A","37479"
"03.01.2015 13:00 - 03.01.2015 13:30","N/A","37967"
"03.01.2015 13:30 - 03.01.2015 14:00","N/A","38270"
"03.01.2015 14:00 - 03.01.2015 14:30","N/A","37902"
"03.01.2015 14:30 - 03.01.2015 15:00","N/A","37391"
"03.01.2015 15:00 - 03.01.2015 15:30","N/A","36822"
"03.01.2015 15:30 - 03.01.2015 16:00","N/A","36240"
"03.01.2015 16:00 - 03.01.2015 16:30","N/A","35870"
"03.01.2015 16:30 - 03.01.2015 17:00","N/A","35974"
"03.01.2015 17:00 - 03.01.2015 17:30","N/A","36654"
"03.01.2015 17:30 - 03.01.2015 18:00","N/A","38580"
"03.01.2015 18:00 - 03.01.2015 18:30","N/A","40942"
"03.01.2015 18:30 - 03.01.2015 19:00","N/A","41745"
"03.01.2015 19:00 - 03.01.2015 19:30","N/A","42193"
"03.01.2015 19:30 - 03.01.2015 20:00","N/A","42101"
"03.01.2015 20:00 - 03.01.2015 20:30","N/A","41488"
"03.01.2015 20:30 - 03.01.2015 21:00","N/A","40139"
"03.01.2015 21:00 - 03.01.2015 21:30","N/A","38863"
"03.01.2015 21:30 - 03.01.2015 22:00","N/A","37868"
"03.01.2015 22:00 - 03.01.2015 22:30","N/A","36438"
"03.01.2015 22:30 - 03.01.2015 23:00","N/A","35051"
"03.01.2015 23:00 - 03.01.2015 23:30","N/A","33181"
"03.01.2015 23:30 - 04.01.2015 00:00","N/A","31884"
"04.01.2015 00:00 - 04.01.2015 00:30","N/A","30902"
"04.01.2015 00:30 - 04.01.2015 01:00","N/A","29498"
"04.01.2015 01:00 - 04.01.2015 01:30","N/A","33918"
"04.01.2015 01:30 - 04.01.2015 02:00","N/A","27311"
"04.01.2015 02:00 - 04.01.2015 02:30","N/A","27333"
"04.01.2015 02:30 - 04.01.2015 03:00","N/A","26146"
"04.01.2015 03:00 - 04.01.2015 03:30","N/A","25008"
"04.01.2015 03:30 - 04.01.2015 04:00","N/A","23987"
"04.01.2015 04:00 - 04.01.2015 04:30","N/A","23925"
"04.01.2015 04:30 - 04.01.2015 05:00","N/A","23303"
"04.01.2015 05:00 - 04.01.2015 05:30","N/A","22426"
"04.01.2015 05:30 - 04.01.2015 06:00","N/A","22072"
"04.01.2015 06:00 - 04.01.2015 06:30","N/A","21749"
"04.01.2015 06:30 - 04.01.2015 07:00","N/A","21638"
"04.01.2015 07:00 - 04.01.2015 07:30","N/A","21745"
"04.01.2015 07:30 - 04.01.2015 08:00","N/A","22293"
"04.01.2015 08:00 - 04.01.2015 08:30","N/A","22812"
"04.01.2015 08:30 - 04.01.2015 09:00","N/A","23555"
"04.01.2015 09:00 - 04.01.2015 09:30","N/A","24317"
"04.01.2015 09:30 - 04.01.2015 10:00","N/A","26256"
"04.01.2015 10:00 - 04.01.2015 10:30","N/A","27759"
"04.01.2015 10:30 - 04.01.2015 11:00","N/A","29679"
"04.01.2015 11:00 - 04.01.2015 11:30","N/A","31608"
"04.01.2015 11:30 - 04.01.2015 12:00","N/A","33423"
"04.01.2015 12:00 - 04.01.2015 12:30","N/A","34447"
"04.01.2015 12:30 - 04.01.2015 13:00","N/A","35508"
"04.01.2015 13:00 - 04.01.2015 13:30","N/A","36189"
"04.01.2015 13:30 - 04.01.2015 14:00","N/A","36864"
"04.01.2015 14:00 - 04.01.2015 14:30","N/A","37085"
"04.01.2015 14:30 - 04.01.2015 15:00","N/A","37107"
"04.01.2015 15:00 - 04.01.2015 15:30","N/A","36813"
"04.01.2015 15:30 - 04.01.2015 16:00","N/A","36760"
"04.01.2015 16:00 - 04.01.2015 16:30","N/A","37000"
"04.01.2015 16:30 - 04.01.2015 17:00","N/A","37469"
"04.01.2015 17:00 - 04.01.2015 17:30","N/A","38333"
"04.01.2015 17:30 - 04.01.2015 18:00","N/A","40538"
"04.01.2015 18:00 - 04.01.2015 18:30","N/A","42702"
"04.01.2015 18:30 - 04.01.2015 19:00","N/A","43164"
"04.01.2015 19:00 - 04.01.2015 19:30","N/A","43168"
"04.01.2015 19:30 - 04.01.2015 20:00","N/A","42853"
"04.01.2015 20:00 - 04.01.2015 20:30","N/A","41906"
"04.01.2015 20:30 - 04.01.2015 21:00","N/A","40472"
"04.01.2015 21:00 - 04.01.2015 21:30","N/A","39281"
"04.01.2015 21:30 - 04.01.2015 22:00","N/A","38371"
"04.01.2015 22:00 - 04.01.2015 22:30","N/A","36726"
"04.01.2015 22:30 - 04.01.2015 23:00","N/A","34963"
"04.01.2015 23:00 - 04.01.2015 23:30","N/A","32832"
"04.01.2015 23:30 - 05.01.2015 00:00","N/A","31240"
"05.01.2015 00:00 - 05.01.2015 00:30","N/A","29723"
"05.01.2015 00:30 - 05.01.2015 01:00","N/A","27963"
"05.01.2015 01:00 - 05.01.2015 01:30","N/A","32566"
"05.01.2015 01:30 - 05.01.2015 02:00","N/A","31289"
"05.01.2015 02:00 - 05.01.2015 02:30","N/A","31685"
"05.01.2015 02:30 - 05.01.2015 03:00","N/A","31226"
"05.01.2015 03:00 - 05.01.2015 03:30","N/A","30263"
"05.01.2015 03:30 - 05.01.2015 04:00","N/A","29780"
"05.01.2015 04:00 - 05.01.2015 04:30","N/A","29685"
"05.01.2015 04:30 - 05.01.2015 05:00","N/A","29190"
"05.01.2015 05:00 - 05.01.2015 05:30","N/A","28366"
"05.01.2015 05:30 - 05.01.2015 06:00","N/A","28003"
"05.01.2015 06:00 - 05.01.2015 06:30","N/A","28010"
"05.01.2015 06:30 - 05.01.2015 07:00","N/A","29049"
"05.01.2015 07:00 - 05.01.2015 07:30","N/A","30786"
"05.01.2015 07:30 - 05.01.2015 08:00","N/A","34644"
"05.01.2015 08:00 - 05.01.2015 08:30","N/A","38054"
"05.01.2015 08:30 - 05.01.2015 09:00","N/A","42011"
"05.01.2015 09:00 - 05.01.2015 09:30","N/A","44657"
"05.01.2015 09:30 - 05.01.2015 10:00","N/A","46177"
"05.01.2015 10:00 - 05.01.2015 10:30","N/A","47023"
"05.01.2015 10:30 - 05.01.2015 11:00","N/A","48201"
"05.01.2015 11:00 - 05.01.2015 11:30","N/A","48482"
"05.01.2015 11:30 - 05.01.2015 12:00","N/A","48566"
"05.01.2015 12:00 - 05.01.2015 12:30","N/A","49059"
"05.01.2015 12:30 - 05.01.2015 13:00","N/A","49253"
"05.01.2015 13:00 - 05.01.2015 13:30","N/A","49404"
"05.01.2015 13:30 - 05.01.2015 14:00","N/A","49646"
"05.01.2015 14:00 - 05.01.2015 14:30","N/A","49643"
"05.01.2015 14:30 - 05.01.2015 15:00","N/A","49497"
"05.01.2015 15:00 - 05.01.2015 15:30","N/A","49332"
"05.01.2015 15:30 - 05.01.2015 16:00","N/A","49383"
"05.01.2015 16:00 - 05.01.2015 16:30","N/A","49361"
"05.01.2015 16:30 - 05.01.2015 17:00","N/A","49384"
"05.01.2015 17:00 - 05.01.2015 17:30","N/A","50225"
"05.01.2015 17:30 - 05.01.2015 18:00","N/A","52021"
"05.01.2015 18:00 - 05.01.2015 18:30","N/A","53401"
"05.01.2015 18:30 - 05.01.2015 19:00","N/A","53628"
"05.01.2015 19:00 - 05.01.2015 19:30","N/A","53453"
"05.01.2015 19:30 - 05.01.2015 20:00","N/A","53299"
"05.01.2015 20:00 - 05.01.2015 20:30","N/A","53045"
"05.01.2015 20:30 - 05.01.2015 21:00","N/A","51999"
"05.01.2015 21:00 - 05.01.2015 21:30","N/A","50377"
"05.01.2015 21:30 - 05.01.2015 22:00","N/A","48852"
"05.01.2015 22:00 - 05.01.2015 22:30","N/A","46918"
"05.01.2015 22:30 - 05.01.2015 23:00","N/A","44808"
"05.01.2015 23:00 - 05.01.2015 23:30","N/A","42340"
"05.01.2015 23:30 - 06.01.2015 00:00","N/A","40108"
"06.01.2015 00:00 - 06.01.2015 00:30","N/A","37787"
"06.01.2015 00:30 - 06.01.2015 01:00","N/A","34908"
"06.01.2015 01:00 - 06.01.2015 01:30","33396","33803"
"06.01.2015 01:30 - 06.01.2015 02:00","32341","32406"
"06.01.2015 02:00 - 06.01.2015 02:30","32105","32546"
"06.01.2015 02:30 - 06.01.2015 03:00","31569","32343"
"06.01.2015 03:00 - 06.01.2015 03:30","31427","31182"
"06.01.2015 03:30 - 06.01.2015 04:00","31383","30468"
"06.01.2015 04:00 - 06.01.2015 04:30","30727","30219"
"06.01.2015 04:30 - 06.01.2015 05:00","29735","29653"
"06.01.2015 05:00 - 06.01.2015 05:30","29118","29113"
"06.01.2015 05:30 - 06.01.2015 06:00","29194","28679"
"06.01.2015 06:00 - 06.01.2015 06:30","30016","28653"
"06.01.2015 06:30 - 06.01.2015 07:00","32075","29136"
"06.01.2015 07:00 - 06.01.2015 07:30","35435","30857"
"06.01.2015 07:30 - 06.01.2015 08:00","39513","35132"
"06.01.2015 08:00 - 06.01.2015 08:30","43125","38829"
"06.01.2015 08:30 - 06.01.2015 09:00","44793","42284"
"06.01.2015 09:00 - 06.01.2015 09:30","45199","44825"
"06.01.2015 09:30 - 06.01.2015 10:00","45531","46721"
"06.01.2015 10:00 - 06.01.2015 10:30","46145","46854"
"06.01.2015 10:30 - 06.01.2015 11:00","46406","47692"
"06.01.2015 11:00 - 06.01.2015 11:30","46538","48028"
"06.01.2015 11:30 - 06.01.2015 12:00","46805","48167"
"06.01.2015 12:00 - 06.01.2015 12:30","46969","48203"
"06.01.2015 12:30 - 06.01.2015 13:00","47049","48223"
"06.01.2015 13:00 - 06.01.2015 13:30","46999","48205"
"06.01.2015 13:30 - 06.01.2015 14:00","46897","48275"
"06.01.2015 14:00 - 06.01.2015 14:30","46983","48052"
"06.01.2015 14:30 - 06.01.2015 15:00","47148","47833"
"06.01.2015 15:00 - 06.01.2015 15:30","47046","47588"
"06.01.2015 15:30 - 06.01.2015 16:00","46752","47545"
"06.01.2015 16:00 - 06.01.2015 16:30","47068","47440"
"06.01.2015 16:30 - 06.01.2015 17:00","48757","47439"
"06.01.2015 17:00 - 06.01.2015 17:30","51218","48278"
"06.01.2015 17:30 - 06.01.2015 18:00","52889","50362"
"06.01.2015 18:00 - 06.01.2015 18:30","53186","52935"
"06.01.2015 18:30 - 06.01.2015 19:00","53247","53516"
"06.01.2015 19:00 - 06.01.2015 19:30","52839","53494"
"06.01.2015 19:30 - 06.01.2015 20:00","52022","53434"
"06.01.2015 20:00 - 06.01.2015 20:30","50867","53372"
"06.01.2015 20:30 - 06.01.2015 21:00","49781","52387"
"06.01.2015 21:00 - 06.01.2015 21:30","48403","50888"
"06.01.2015 21:30 - 06.01.2015 22:00","46763","49528"
"06.01.2015 22:00 - 06.01.2015 22:30","44438","47369"
"06.01.2015 22:30 - 06.01.2015 23:00","41829","45453"
"06.01.2015 23:00 - 06.01.2015 23:30","39662","43111"
"06.01.2015 23:30 - 07.01.2015 00:00","37019","40567"
"07.01.2015 00:00 - 07.01.2015 00:30","34609","38564"
"07.01.2015 00:30 - 07.01.2015 01:00","33599","35955"
"07.01.2015 01:00 - 07.01.2015 01:30","N/A","33997"
"07.01.2015 01:30 - 07.01.2015 02:00","N/A","33345"
"07.01.2015 02:00 - 07.01.2015 02:30","N/A","33497"
"07.01.2015 02:30 - 07.01.2015 03:00","N/A","33014"
"07.01.2015 03:00 - 07.01.2015 03:30","N/A","32117"
"07.01.2015 03:30 - 07.01.2015 04:00","N/A","31448"
"07.01.2015 04:00 - 07.01.2015 04:30","N/A","31249"
"07.01.2015 04:30 - 07.01.2015 05:00","N/A","30415"
"07.01.2015 05:00 - 07.01.2015 05:30","N/A","29787"
"07.01.2015 05:30 - 07.01.2015 06:00","N/A","28298"
"07.01.2015 06:00 - 07.01.2015 06:30","N/A","28061"
"07.01.2015 06:30 - 07.01.2015 07:00","N/A","28611"
"07.01.2015 07:00 - 07.01.2015 07:30","N/A","30061"
"07.01.2015 07:30 - 07.01.2015 08:00","N/A","34302"
"07.01.2015 08:00 - 07.01.2015 08:30","N/A","37920"
"07.01.2015 08:30 - 07.01.2015 09:00","N/A","43464"
"07.01.2015 09:00 - 07.01.2015 09:30","N/A","46102"
"07.01.2015 09:30 - 07.01.2015 10:00","N/A","47095"
"07.01.2015 10:00 - 07.01.2015 10:30","N/A","47130"
"07.01.2015 10:30 - 07.01.2015 11:00","N/A","48167"
"07.01.2015 11:00 - 07.01.2015 11:30","N/A","48591"
"07.01.2015 11:30 - 07.01.2015 12:00","N/A","48836"
"07.01.2015 12:00 - 07.01.2015 12:30","N/A","49113"
"07.01.2015 12:30 - 07.01.2015 13:00","N/A","49287"
"07.01.2015 13:00 - 07.01.2015 13:30","N/A","49703"
"07.01.2015 13:30 - 07.01.2015 14:00","N/A","49898"
"07.01.2015 14:00 - 07.01.2015 14:30","N/A","49942"
"07.01.2015 14:30 - 07.01.2015 15:00","N/A","49528"
"07.01.2015 15:00 - 07.01.2015 15:30","N/A","49888"
"07.01.2015 15:30 - 07.01.2015 16:00","N/A","49796"
"07.01.2015 16:00 - 07.01.2015 16:30","N/A","49458"
"07.01.2015 16:30 - 07.01.2015 17:00","N/A","49186"
"07.01.2015 17:00 - 07.01.2015 17:30","N/A","50305"
"07.01.2015 17:30 - 07.01.2015 18:00","N/A","53058"
"07.01.2015 18:00 - 07.01.2015 18:30","N/A","54744"
"07.01.2015 18:30 - 07.01.2015 19:00","N/A","55288"
"07.01.2015 19:00 - 07.01.2015 19:30","N/A","55020"
"07.01.2015 19:30 - 07.01.2015 20:00","N/A","54489"
"07.01.2015 20:00 - 07.01.2015 20:30","N/A","53491"
"07.01.2015 20:30 - 07.01.2015 21:00","N/A","52331"
"07.01.2015 21:00 - 07.01.2015 21:30","N/A","50793"
"07.01.2015 21:30 - 07.01.2015 22:00","N/A","49339"
"07.01.2015 22:00 - 07.01.2015 22:30","N/A","47220"
"07.01.2015 22:30 - 07.01.2015 23:00","N/A","45109"
"07.01.2015 23:00 - 07.01.2015 23:30","N/A","42592"
"07.01.2015 23:30 - 08.01.2015 00:00","N/A","40482"
"08.01.2015 00:00 - 08.01.2015 00:30","N/A","38255"
"08.01.2015 00:30 - 08.01.2015 01:00","N/A","35868"
"08.01.2015 01:00 - 08.01.2015 01:30","N/A","34573"
"08.01.2015 01:30 - 08.01.2015 02:00","N/A","32553"
"08.01.2015 02:00 - 08.01.2015 02:30","N/A","32730"
"08.01.2015 02:30 - 08.01.2015 03:00","N/A","32147"
"08.01.2015 03:00 - 08.01.2015 03:30","N/A","31326"
"08.01.2015 03:30 - 08.01.2015 04:00","N/A","30539"
"08.01.2015 04:00 - 08.01.2015 04:30","N/A","30344"
"08.01.2015 04:30 - 08.01.2015 05:00","N/A","29788"
"08.01.2015 05:00 - 08.01.2015 05:30","N/A","29066"
"08.01.2015 05:30 - 08.01.2015 06:00","N/A","27919"
"08.01.2015 06:00 - 08.01.2015 06:30","N/A","27799"
"08.01.2015 06:30 - 08.01.2015 07:00","N/A","29550"
"08.01.2015 07:00 - 08.01.2015 07:30","N/A","30863"
"08.01.2015 07:30 - 08.01.2015 08:00","N/A","35444"
"08.01.2015 08:00 - 08.01.2015 08:30","N/A","39101"
"08.01.2015 08:30 - 08.01.2015 09:00","N/A","43648"
"08.01.2015 09:00 - 08.01.2015 09:30","N/A","46495"
"08.01.2015 09:30 - 08.01.2015 10:00","N/A","47716"
"08.01.2015 10:00 - 08.01.2015 10:30","N/A","47799"
"08.01.2015 10:30 - 08.01.2015 11:00","N/A","48610"
"08.01.2015 11:00 - 08.01.2015 11:30","N/A","48934"
"08.01.2015 11:30 - 08.01.2015 12:00","N/A","48902"
"08.01.2015 12:00 - 08.01.2015 12:30","N/A","48957"
"08.01.2015 12:30 - 08.01.2015 13:00","N/A","48431"
"08.01.2015 13:00 - 08.01.2015 13:30","N/A","48348"
"08.01.2015 13:30 - 08.01.2015 14:00","N/A","48446"
"08.01.2015 14:00 - 08.01.2015 14:30","N/A","47976"
"08.01.2015 14:30 - 08.01.2015 15:00","N/A","47502"
"08.01.2015 15:00 - 08.01.2015 15:30","N/A","47192"
"08.01.2015 15:30 - 08.01.2015 16:00","N/A","47135"
"08.01.2015 16:00 - 08.01.2015 16:30","N/A","47151"
"08.01.2015 16:30 - 08.01.2015 17:00","N/A","47120"
"08.01.2015 17:00 - 08.01.2015 17:30","N/A","47984"
"08.01.2015 17:30 - 08.01.2015 18:00","N/A","49982"
"08.01.2015 18:00 - 08.01.2015 18:30","N/A","52547"
"08.01.2015 18:30 - 08.01.2015 19:00","N/A","53465"
"08.01.2015 19:00 - 08.01.2015 19:30","N/A","53487"
"08.01.2015 19:30 - 08.01.2015 20:00","N/A","53315"
"08.01.2015 20:00 - 08.01.2015 20:30","N/A","52953"
"08.01.2015 20:30 - 08.01.2015 21:00","N/A","51905"
"08.01.2015 21:00 - 08.01.2015 21:30","N/A","50400"
"08.01.2015 21:30 - 08.01.2015 22:00","N/A","48717"
"08.01.2015 22:00 - 08.01.2015 22:30","N/A","46687"
"08.01.2015 22:30 - 08.01.2015 23:00","N/A","44586"
"08.01.2015 23:00 - 08.01.2015 23:30","N/A","42292"
"08.01.2015 23:30 - 09.01.2015 00:00","N/A","40223"
"09.01.2015 00:00 - 09.01.2015 00:30","N/A","38296"
"09.01.2015 00:30 - 09.01.2015 01:00","N/A","36161"
"09.01.2015 01:00 - 09.01.2015 01:30","34678","33780"
"09.01.2015 01:30 - 09.01.2015 02:00","32422","32859"
"09.01.2015 02:00 - 09.01.2015 02:30","32407","33063"
"09.01.2015 02:30 - 09.01.2015 03:00","31656","32378"
"09.01.2015 03:00 - 09.01.2015 03:30","31356","31698"
"09.01.2015 03:30 - 09.01.2015 04:00","30944","30890"
"09.01.2015 04:00 - 09.01.2015 04:30","29899","30314"
"09.01.2015 04:30 - 09.01.2015 05:00","29291","30004"
"09.01.2015 05:00 - 09.01.2015 05:30","28833","29260"
"09.01.2015 05:30 - 09.01.2015 06:00","28945","28799"
"09.01.2015 06:00 - 09.01.2015 06:30","29701","29003"
"09.01.2015 06:30 - 09.01.2015 07:00","31702","29458"
"09.01.2015 07:00 - 09.01.2015 07:30","35024","31327"
"09.01.2015 07:30 - 09.01.2015 08:00","39135","35282"
"09.01.2015 08:00 - 09.01.2015 08:30","42907","39166"
"09.01.2015 08:30 - 09.01.2015 09:00","44466","43465"
"09.01.2015 09:00 - 09.01.2015 09:30","44863","45957"
"09.01.2015 09:30 - 09.01.2015 10:00","45201","46963"
"09.01.2015 10:00 - 09.01.2015 10:30","45652","46696"
"09.01.2015 10:30 - 09.01.2015 11:00","46015","47220"
"09.01.2015 11:00 - 09.01.2015 11:30","46152","47283"
"09.01.2015 11:30 - 09.01.2015 12:00","46377","47099"
"09.01.2015 12:00 - 09.01.2015 12:30","46532","46961"
"09.01.2015 12:30 - 09.01.2015 13:00","46690","47023"
"09.01.2015 13:00 - 09.01.2015 13:30","46675","46961"
"09.01.2015 13:30 - 09.01.2015 14:00","46483","47173"
"09.01.2015 14:00 - 09.01.2015 14:30","46329","47270"
"09.01.2015 14:30 - 09.01.2015 15:00","46317","47218"
"09.01.2015 15:00 - 09.01.2015 15:30","46029","47161"
"09.01.2015 15:30 - 09.01.2015 16:00","45728","47383"
"09.01.2015 16:00 - 09.01.2015 16:30","45471","46803"
"09.01.2015 16:30 - 09.01.2015 17:00","46685","46845"
"09.01.2015 17:00 - 09.01.2015 17:30","48764","48003"
"09.01.2015 17:30 - 09.01.2015 18:00","50241","50055"
"09.01.2015 18:00 - 09.01.2015 18:30","50633","51665"
"09.01.2015 18:30 - 09.01.2015 19:00","50326","52315"
"09.01.2015 19:00 - 09.01.2015 19:30","50006","52400"
